Image number, contact, shear_x, shear_y, pose_z, pose_Rx, pose_Ry, shear_Rz 
1, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
2, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
3, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
4, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
5, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
6, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
7, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
8, True, -0.92, -0.00, 1.37, -3.33, 4.46, 0.00 
9, True, 0.01, -0.85, 2.32, 0.30, -8.88, 0.00 
10, True, -3.70, -0.52, 2.46, 2.70, -1.35, 0.00 
11, True, -4.01, -0.87, 1.83, 1.59, 2.53, 0.00 
12, True, -1.88, 0.93, 2.09, -0.92, -4.62, 0.00 
13, True, -2.83, -0.66, 2.43, -1.67, -9.33, 0.00 
14, True, -3.02, 0.21, 2.31, 0.55, -0.34, 0.00 
15, True, 0.46, 0.54, 1.48, 0.26, -4.65, 0.00 
16, True, -2.40, 1.42, 1.42, -0.78, 5.74, 0.00 
17, True, -1.74, 1.58, 2.02, 0.80, 0.94, 0.00 
