Image number, contact, shear_x, shear_y, pose_z, pose_Rx, pose_Ry, shear_Rz 
1, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
2, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
3, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
4, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
5, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
6, True, 0.14, -1.85, 2.12, 0.88, 1.16, 0.00 
7, True, -3.06, -0.53, 2.34, 0.76, -8.30, 0.00 
8, True, -3.67, -0.64, 2.00, 2.36, 2.29, 0.00 
9, True, -0.93, 0.99, 2.18, -0.73, -3.46, 0.00 
10, True, -2.72, -0.13, 2.54, -1.02, -8.98, 0.00 
11, True, -2.93, -0.13, 2.33, -0.56, -4.35, 0.00 
12, True, -0.81, 0.35, 0.84, 2.93, -11.07, 0.00 
13, True, -1.87, 2.03, 1.46, -0.48, 2.86, 0.00 
