Image number, contact, shear_x, shear_y, pose_z, pose_Rx, pose_Ry, shear_Rz 
1, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
2, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
3, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
4, True, 0.28, -0.52, 1.43, 0.32, 0.59, 0.00 
5, True, 0.06, -0.53, 2.05, 0.55, 0.69, 0.00 
6, True, 0.40, 0.38, 2.44, -1.54, 0.20, 0.00 
7, True, 0.09, 0.26, 2.41, -0.21, 0.45, 0.00 
8, True, 0.60, -0.45, 2.37, 0.55, 0.12, 0.00 
9, True, 0.18, 0.28, 2.46, -0.31, 0.37, 0.00 
10, True, -0.40, 0.37, 1.38, 0.93, -4.33, 0.00 
11, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
