Image number, contact, shear_x, shear_y, pose_z, pose_Rx, pose_Ry, shear_Rz 
1, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
2, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
3, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
4, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
5, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
6, True, -0.12, -0.97, 2.29, -0.33, -1.60, 0.00 
7, True, -2.98, -0.63, 2.10, -0.35, -1.85, 0.00 
8, True, -3.03, -0.69, 2.27, -0.03, -2.65, 0.00 
9, True, -3.28, -0.47, 1.97, 0.99, -1.39, 0.00 
10, True, -2.98, 0.12, 2.06, 0.22, -3.50, 0.00 
11, True, -2.48, 0.71, 2.35, -1.08, -5.03, 0.00 
12, True, -0.69, 0.40, 1.01, 0.94, -8.81, 0.00 
13, True, -2.19, 2.73, 1.55, -0.39, 3.07, 0.00 
14, True, -2.14, 1.66, 1.79, -0.59, 3.43, 0.00 
