Image number, contact, shear_x, shear_y, pose_z, pose_Rx, pose_Ry, shear_Rz 
1, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
2, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
3, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
4, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
5, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
6, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
7, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
8, True, 0.00, 0.15, 2.28, 0.48, -0.06, 0.00 
9, True, -3.24, 0.68, 2.52, 0.71, -4.52, 0.00 
10, True, -2.50, 1.79, 1.98, 1.37, -1.26, 0.00 
11, True, -3.56, -0.38, 1.88, -0.21, 0.06, 0.00 
12, True, -2.27, -1.04, 2.15, -0.78, -4.50, 0.00 
13, True, -2.80, 1.38, 2.71, -3.46, -5.75, 0.00 
14, True, -3.20, -0.66, 1.83, 0.27, 0.57, 0.00 
15, True, -3.00, -0.39, 2.16, -1.61, -1.86, 0.00 
16, True, -3.23, 0.14, 2.33, -0.30, -1.99, 0.00 
17, True, -1.71, 2.09, 1.38, -1.90, 3.99, 0.00 
18, True, -1.30, 1.53, 1.85, -3.40, 3.25, 0.00 
