Image number, contact, shear_x, shear_y, pose_z, pose_Rx, pose_Ry, shear_Rz 
1, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
2, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
3, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
4, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
5, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
6, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
7, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
8, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
9, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
10, True, 0.27, -0.41, 2.34, -0.96, -0.42, 0.00 
11, True, -2.99, -0.67, 2.28, 0.73, -7.48, 0.00 
12, True, -2.18, -0.37, 2.12, 1.18, -5.05, 0.00 
13, True, -2.23, 0.47, 2.28, 0.08, -5.29, 0.00 
14, True, -2.36, -0.20, 2.41, -0.25, -7.43, 0.00 
15, True, -3.16, 1.04, 1.43, -0.08, 0.92, 0.00 
16, True, -2.80, 2.59, 1.40, -1.52, 4.09, 0.00 
